,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,,,,,,,,,,,,,,,,,,,,,,,
1,78.0,77.0,77.0,77.0,77.0,78.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,78.0,77.0,77.0,78.0,78.0,77.0,77.0,78.0
2,71.0,71.0,71.0,71.0,72.0,72.0,72.0,72.0,73.0,72.0,72.0,72.0,72.0,72.0,73.0,73.0,72.0,71.0,71.0,71.0,71.0,71.0,70.0,70.0
3,65.0,65.0,65.0,65.0,66.0,66.0,65.0,64.0,64.0,63.0,63.0,63.0,63.0,63.0,63.0,64.0,63.0,63.0,64.0,63.0,64.0,64.0,64.0,65.0
4,58.0,59.0,57.0,56.0,56.0,59.0,67.0,65.0,65.0,64.0,64.0,66.0,65.0,64.0,65.0,65.0,64.0,63.0,63.0,64.0,63.0,61.0,62.0,60.0
5,22.0,24.0,18.0,16.0,17.0,17.0,17.0,20.0,25.0,24.0,27.0,21.0,24.0,23.0,28.0,23.0,25.0,26.0,25.0,25.0,20.0,25.0,22.0,26.0
6,66.0,65.0,64.0,63.0,63.0,67.0,67.0,68.0,68.0,68.0,68.0,69.0,70.0,69.0,69.0,69.0,68.0,67.0,67.0,67.0,67.0,66.0,65.0,67.0
7,63.0,60.0,63.0,61.0,60.0,61.0,64.0,65.0,63.0,63.0,63.0,63.0,63.0,63.0,64.0,64.0,62.0,62.0,62.0,62.0,63.0,62.0,63.0,64.0
8,53.0,52.0,52.0,54.0,52.0,53.0,53.0,53.0,52.0,52.0,53.0,52.0,51.0,53.0,53.0,51.0,52.0,50.0,51.0,52.0,50.0,50.0,52.0,52.0
9,58.0,55.0,56.0,55.0,53.0,55.0,55.0,61.0,60.0,62.0,61.0,64.0,63.0,64.0,63.0,63.0,62.0,61.0,61.0,60.0,61.0,58.0,55.0,59.0
10,66.0,65.0,68.0,64.0,68.0,70.0,70.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,68.0,68.0,67.0,67.0,67.0,65.0,67.0
11,69.0,69.0,69.0,69.0,69.0,70.0,70.0,71.0,71.0,71.0,70.0,70.0,71.0,71.0,71.0,71.0,70.0,68.0,69.0,69.0,68.0,68.0,68.0,69.0
12,67.0,67.0,67.0,67.0,67.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,68.0,66.0,66.0,66.0,66.0,66.0,66.0,67.0
13,66.0,65.0,61.0,63.0,61.0,64.0,64.0,66.0,66.0,65.0,65.0,66.0,66.0,65.0,66.0,66.0,65.0,64.0,66.0,65.0,64.0,65.0,64.0,64.0
14,61.0,62.0,61.0,59.0,62.0,65.0,68.0,65.0,67.0,67.0,67.0,66.0,66.0,67.0,66.0,65.0,66.0,64.0,64.0,63.0,64.0,62.0,62.0,62.0
15,46.0,46.0,45.0,44.0,42.0,47.0,47.0,47.0,48.0,49.0,50.0,50.0,49.0,50.0,52.0,50.0,50.0,48.0,47.0,47.0,47.0,49.0,47.0,46.0
16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
17,68.0,70.0,71.0,71.0,70.0,74.0,74.0,73.0,76.0,76.0,75.0,78.0,78.0,78.0,78.0,78.0,77.0,76.0,74.0,74.0,73.0,70.0,71.0,69.0
18,69.0,66.0,70.0,68.0,67.0,73.0,68.0,71.0,75.0,75.0,75.0,78.0,77.0,78.0,77.0,77.0,75.0,72.0,73.0,73.0,70.0,67.0,68.0,68.0
19,66.0,68.0,66.0,69.0,64.0,71.0,73.0,71.0,69.0,69.0,68.0,72.0,72.0,72.0,71.0,72.0,70.0,68.0,70.0,70.0,71.0,69.0,70.0,64.0
